"","station_id","station_name","sub_district","district","province","latitude","longitude","f1_score","rmse"
"49",405301,"ร้อยเอ็ด (1)","ราชธานี","ธวัชบุรี","ร้อยเอ็ด",16.07,103.6,65.219753602254,10.6116430621267
"50",407301,"อุบลราชธานี (1)","เอือดใหญ่","ศรีเมืองใหม่","อุบลราชธานี",15.24,105.02,72.5217535131289,11.2387066373778
"51",407501,"อุบลราชธานี","บุ่งมะแลง","วารินชำราบ","อุบลราชธานี",15.25,104.87,71.5405944678711,11.462494758635
"52",409301,"ศรีสะเกษ (1)","ดวนใหญ่","วังหิน","ศรีสะเกษ",15.09,104.33,67.5075808038703,11.6231097934864
"53",415301,"อยุธยา (1)","หัวรอ","พระนครศรีอยุธยา","พระนครศรีอยุธยา",14.53,100.72,63.8375933001577,9.39761868600255
"54",419301,"ปทุมธานี (1)","คลองหก","คลองหลวง","ปทุมธานี",14.12,100.62,69.7811741201183,10.583883844909
"55",423301,"ฉะเชิงเทรา (1)","หนองแหน","พนมสารคาม","ฉะเชิงเทรา",13.57,101.45,65.7335726940954,9.69483871880404
"56",424301,"ราชบุรี (1)","ด่านทับตะโก","จอมบึง","ราชบุรี",13.49,99.79,67.8075659363899,9.46128601303551
"57",425201,"สุพรรณบุรี","วังหว้า","ศรีประจันต์","สุพรรณบุรี",14.48,100.09,63.5690176246777,8.45997959143451
"58",425301,"อู่ทอง (1)","นาสวน","ศรีสวัสดิ์","กาญจนบุรี",14.31,99.86,62.8272685536849,8.67852220992028
"59",426201,"ลพบุรี","เพนียด","โคกสำโรง","ลพบุรี",14.8,100.63,63.8745967606474,9.48011179843641
"60",426401,"บัวชุม (2)","ท่าโรง","วิเชียรบุรี","เพชรบูรณ์",15.27,101.19,62.6329241778428,9.08268373473112
"61",429201,"กรมอุตุนิยมวิทยา","แขวงคลองมหานาค","เขตป้อมปราบศัตรูพ่าย","กรุงเทพมหานคร",13.38,100.6,58.3971734403114,8.63769239842442
"62",429301,"สมุทรปราการ (บางปลา)","","","",13.52,100.76,50.1477832512315,9.44682743727988
"63",429601,"สุวรรณภูมิ(สนามบิน)","","","",13.69,100.77,73.6605374121412,8.95036979041951
"64",430201,"ปราจีนบุรี","คำโตนด","ประจันตคาม","ปราจีนบุรี",14.05,101.37,72.7338146644394,12.3467025432107
"65",430401,"กบินทร์บุรี (2)","คู้ลำพัน","ศรีมโหสถ","ปราจีนบุรี",13.99,101.7,72.6189526157603,10.5509971239903
"66",431201,"นครราชสีมา","พลสงคราม","โนนสูง","นครราชสีมา",14.97,102.08,62.6965784532116,8.71870101824824
"67",431301,"ปากช่อง (1)","กลางดง","ปากช่อง","นครราชสีมา",14.64,101.32,66.7440093130716,8.5269992052826
"68",431401,"โชคชัย (2)","โคกกรวด","เมืองนครราชสีมา","นครราชสีมา",14.74,102.16,64.5756231927151,8.68827099040972
"69",432201,"สุรินทร์","บ้านแร่","เมืองสุรินทร์","สุรินทร์",14.88,103.5,69.466078355379,10.6606368634459
"70",432301,"สุรินทร์ (1)","นาบัว","เมืองสุรินทร์","สุรินทร์",14.89,103.45,69.0067209713924,11.1744863776141
"71",432401,"สอท.ท่าตูม*","ท่าตูม","ท่าตูม","สุรินทร์",15.32,103.68,67.6284663071863,10.8308241804233
"72",436201,"บุรีรัมย์","เสม็ด","เมืองบุรีรัมย์","บุรีรัมย์",15.23,103.24,63.7744564024997,10.1632108420208
"73",436401,"นางรอง (2)","นางรอง","นางรอง","บุรีรัมย์",14.63,102.72,65.6444561754522,9.37324637049392
"74",440201,"อรัญประเทศ","บ้านใหม่หนองไทร","อรัญประเทศ","สระแก้ว",13.69,102.5,68.8022827550543,9.60454308170515
