"","station","name_en","name_th","lat","long","rainfall","date"
"65",431201,"NAKHON RATCHASIMA","นครราชสีมา",14.970186,102.082408,"0","2012-09-18"
"66",431301,"PAK CHONG","ปากช่อง (1)",14.643944,101.318178,"16.9333333333333","2012-09-18"
"67",431401,"CHOK CHAI","โชคชัย (2)",14.739497,102.164722,"1.1","2012-09-18"
"68",432201,"SURIN","สุรินทร์",14.875978,103.496661,"16.5666666666667","2012-09-18"
"69",432301,"SURIN","สุรินทร์ (1)",14.891158,103.449111,"0","2012-09-18"
"70",432401,"THA TUM","สอท.ท่าตูม*",15.317728,103.676683,"1.8","2012-09-18"
"71",436201,"Buri Ram","บุรีรัมย์",15.227483,103.244336,"16.2666666666667","2012-09-18"
"72",436401,"NANG RONG","นางรอง (2)",14.632689,102.717747,"10.1333333333333","2012-09-18"
"73",440201,"ARANYA PRATHET","อรัญประเทศ",13.688997,102.504183,"4","2012-09-18"
"74",440401,"SA KAEW","สระแก้ว (2)",13.792069,102.032561,"0.466666666666667","2012-09-18"
"75",450201,"KANCHANA BURI","กาญจนบุรี",14.022186,99.535986,"1.86666666666667","2012-09-18"
"76",450401,"THONG PHAPHUM","ทองผาภูมิ",14.744561,98.633236,"0.233333333333333","2012-09-18"
"77",451301,"KAMPHAENG SAEN","กำแพงแสน (1)",14.011917,99.970031,"0.866666666666667","2012-09-18"
"78",455201,"BANGKOK METROPOLI","ศูนย์สิริกิตต์",13.726389,100.559889,"5.83333333333333","2012-09-18"
"79",455203,"(KLONG TOEY)","ท่าเรือกรุงเทพฯ",13.707083,100.568056,"3.56666666666667","2012-09-18"
"80",455301,"BANG NA","บางนา (1)",13.666256,100.606025,"1","2012-09-18"
"81",455302,"BANG KHEN","บางเขน",13.830969,100.739131,"3.63333333333333","2012-09-18"
"82",455601,"DON MUANG AIRPORT","สนามบินกรุงเทพฯ",13.909042,100.593592,"4.63333333333333","2012-09-18"
"83",459201,"CHON BURI","ชลบุรี",13.35565,100.982361,"5.6","2012-09-18"
"84",459202,"KO SICHANG","เกาะสีชัง",13.162778,100.80285,"1.3","2012-09-18"
"85",459203,"PHATTHAYA","พัทยา",12.923281,100.865733,"0.333333333333333","2012-09-18"
"86",459204,"SATTAHIP","สัตหีบ",12.693222,100.981928,"0","2012-09-18"
"87",459205,"LAEM CHABANG","แหลมฉบัง",13.077689,100.873847,"1.3","2012-09-18"
"88",465201,"PHETCHA BURI","เพชรบุรี",12.999317,100.060533,"3.2","2012-09-18"
"89",478201,"RAYONG","ระยอง",12.634022,101.339992,"16.9333333333333","2012-09-18"
"90",478301,"HUAI PONG","ห้วยโป่ง (1)",12.735044,101.135383,"4.66666666666667","2012-09-18"
"91",480201,"CHANTHA BURI","จันทบุรี",12.609942,102.103883,"8.83333333333333","2012-09-18"
